run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-13-20240608-15:20:43-136299,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-13-20240608-15:20:43-136299,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.numBlades,4,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].maxUsers,24,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].maxVMs,24,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].numCpuCores,24,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].memorySize,256GB,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].diskSize,500GB,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-13-20240608-15:20:43-136299,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
